row,column,cell_reference,value,context,source_file
,,B4,"5,737,500","Row 4 'Total project income' (columns B–E are year-specific EUR totals) currently shows '0'. The provided text_data gives the aggregated projected revenue for the project during the implementation period: 5,737,500 EUR — replace the placeholder 0 with this correct total.",ENGLISH_Finansinis planas en_revenue_forecast
,,C4,"9,332,500","Row 4 'Total project income' (N+1) currently shows '0'. The text_data specifies N+1 projected revenue of 9,332,500 EUR; this is a superior, contextually appropriate value for this cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D4,"13,899,000","Row 4 'Total project income' (N+2) currently shows '0'. The text_data provides N+2 projected revenue of 13,899,000 EUR; update to reflect the correct projection.",ENGLISH_Finansinis planas en_revenue_forecast
,,E4,"18,977,500","Row 4 'Total project income' (N+3) currently shows '0'. The text_data provides N+3 projected revenue of 18,977,500 EUR; replace the placeholder to reflect the forecast.",ENGLISH_Finansinis planas en_revenue_forecast
,,A11,Advanced Analytics Dashboard,"Row 11 is a product header currently labeled 'Product xxx'. The text_data names the first product as 'Advanced Analytics Dashboard', so replacing the placeholder improves clarity and aligns the row group (rows 12-14) with the provided product data.",ENGLISH_Finansinis planas en_revenue_forecast
,,B12,150,"Row 12 'Sales quantity, pcs.' (During the project) is empty. The text_data specifies 150 units during the project for the Advanced Analytics Dashboard — fill the missing sales quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C12,220,"Row 12 'Sales quantity, pcs.' (N+1) is empty. The text_data specifies 220 units in N+1 for Advanced Analytics Dashboard; update the cell accordingly.",ENGLISH_Finansinis planas en_revenue_forecast
,,D12,280,"Row 12 'Sales quantity, pcs.' (N+2) is empty. The text_data gives 280 units in N+2 for Advanced Analytics Dashboard; insert this value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E12,350,"Row 12 'Sales quantity, pcs.' (N+3) is empty. The text_data gives 350 units in N+3 for Advanced Analytics Dashboard; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B13,"2,500","Row 13 'Unit selling price, EUR' (During the project) is empty. The text_data specifies a unit price of 2,500 EUR for Advanced Analytics Dashboard during the project; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C13,"2,650","Row 13 'Unit selling price, EUR' (N+1) is empty. The text_data specifies 2,650 EUR in N+1 for Advanced Analytics Dashboard; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D13,"2,750","Row 13 'Unit selling price, EUR' (N+2) is empty. The text_data specifies 2,750 EUR in N+2 for Advanced Analytics Dashboard; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E13,"2,850","Row 13 'Unit selling price, EUR' (N+3) is empty. The text_data specifies 2,850 EUR in N+3 for Advanced Analytics Dashboard; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B14,"375,000","Row 14 'Total sales revenue, EUR' (During the project) currently shows '0'. The text_data computes 150 units * 2,500 EUR = 375,000 EUR for Advanced Analytics Dashboard; replace the placeholder with this calculated revenue.",ENGLISH_Finansinis planas en_revenue_forecast
,,C14,"583,000","Row 14 'Total sales revenue, EUR' (N+1) currently shows '0'. The text_data provides 220 units * 2,650 EUR = 583,000 EUR for Advanced Analytics Dashboard; update accordingly.",ENGLISH_Finansinis planas en_revenue_forecast
,,D14,"770,000","Row 14 'Total sales revenue, EUR' (N+2) currently shows '0'. The text_data provides 280 units * 2,750 EUR = 770,000 EUR; replace placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,E14,"997,500","Row 14 'Total sales revenue, EUR' (N+3) currently shows '0'. The text_data provides 350 units * 2,850 EUR = 997,500 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A16,AI-Powered Predictive Analytics Suite,"Row 16 is a product header currently labeled 'Product xxx'. The text_data names the second product 'AI-Powered Predictive Analytics Suite', so replace the placeholder to correctly label rows 17-19.",ENGLISH_Finansinis planas en_revenue_forecast
,,B17,45,"Row 17 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 45 units during the project for this product; fill the missing quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C17,75,"Row 17 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 75 units in N+1 for this product; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D17,95,"Row 17 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 95 units in N+2 for this product; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E17,125,"Row 17 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 125 units in N+3 for this product; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B18,"8,500","Row 18 'Unit selling price, EUR' (During the project) is empty. Text_data lists 8,500 EUR during the project for this product; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C18,"8,900","Row 18 'Unit selling price, EUR' (N+1) is empty. Text_data lists 8,900 EUR in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D18,"9,200","Row 18 'Unit selling price, EUR' (N+2) is empty. Text_data lists 9,200 EUR in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E18,"9,500","Row 18 'Unit selling price, EUR' (N+3) is empty. Text_data lists 9,500 EUR in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B19,"382,500","Row 19 'Total sales revenue, EUR' (During the project) currently '0'. Text_data gives 45 * 8,500 = 382,500 EUR for this product during the project; replace placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,C19,"667,500","Row 19 'Total sales revenue, EUR' (N+1) currently '0'. Text_data gives 75 * 8,900 = 667,500 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D19,"874,000","Row 19 'Total sales revenue, EUR' (N+2) currently '0'. Text_data gives 95 * 9,200 = 874,000 EUR; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E19,"1,187,500","Row 19 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 125 * 9,500 = 1,187,500 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A21,Cloud-Based Data Integration Platform,"Row 21 product header currently 'Product xxx'. The text_data identifies this product as 'Cloud-Based Data Integration Platform', so replace placeholder to label rows 22-24 correctly.",ENGLISH_Finansinis planas en_revenue_forecast
,,B22,80,"Row 22 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 80 units during the project for this product; fill the missing quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C22,140,"Row 22 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 140 units in N+1 for this product; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D22,190,"Row 22 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 190 units in N+2 for this product; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E22,240,"Row 22 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 240 units in N+3 for this product; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B23,"3,200","Row 23 'Unit selling price, EUR' (During the project) is empty. Text_data lists 3,200 EUR during the project for this product; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C23,"3,350","Row 23 'Unit selling price, EUR' (N+1) is empty. Text_data lists 3,350 EUR in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D23,"3,500","Row 23 'Unit selling price, EUR' (N+2) is empty. Text_data lists 3,500 EUR in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E23,"3,650","Row 23 'Unit selling price, EUR' (N+3) is empty. Text_data lists 3,650 EUR in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B24,"256,000","Row 24 'Total sales revenue, EUR' (During the project) currently '0'. Text_data gives 80 * 3,200 = 256,000 EUR; replace placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,C24,"469,000","Row 24 'Total sales revenue, EUR' (N+1) currently '0'. Text_data gives 140 * 3,350 = 469,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D24,"665,000","Row 24 'Total sales revenue, EUR' (N+2) currently '0'. Text_data gives 190 * 3,500 = 665,000 EUR; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E24,"876,000","Row 24 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 240 * 3,650 = 876,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A26,Machine Learning Optimization Tool,"Row 26 product header currently 'Product xxx'. The text_data names this product 'Machine Learning Optimization Tool', so replace the placeholder and correctly identify rows 27-29.",ENGLISH_Finansinis planas en_revenue_forecast
,,B27,25,"Row 27 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 25 units during the project for this product; fill the quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C27,60,"Row 27 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 60 units in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D27,85,"Row 27 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 85 units in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E27,110,"Row 27 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 110 units in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B28,"12,000","Row 28 'Unit selling price, EUR' (During the project) is empty. Text_data lists 12,000 EUR during the project for this product; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C28,"12,500","Row 28 'Unit selling price, EUR' (N+1) is empty. Text_data lists 12,500 EUR in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D28,"13,000","Row 28 'Unit selling price, EUR' (N+2) is empty. Text_data lists 13,000 EUR in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E28,"13,500","Row 28 'Unit selling price, EUR' (N+3) is empty. Text_data lists 13,500 EUR in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B29,"300,000","Row 29 'Total sales revenue, EUR' (During the project) currently '0'. Text_data gives 25 * 12,000 = 300,000 EUR for this product during the project; replace placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,C29,"750,000","Row 29 'Total sales revenue, EUR' (N+1) currently '0'. Text_data gives 60 * 12,500 = 750,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D29,"1,105,000","Row 29 'Total sales revenue, EUR' (N+2) currently '0'. Text_data gives 85 * 13,000 = 1,105,000 EUR; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E29,"1,485,000","Row 29 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 110 * 13,500 = 1,485,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A31,Business Intelligence Reporting Suite,"Row 31 product header currently 'Product xxx'. The text_data names this product 'Business Intelligence Reporting Suite', so replace the placeholder to correctly identify rows 32-34.",ENGLISH_Finansinis planas en_revenue_forecast
,,B32,200,"Row 32 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 200 units during the project for this product; fill the quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C32,320,"Row 32 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 320 units in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D32,420,"Row 32 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 420 units in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E32,550,"Row 32 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 550 units in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B33,"1,800","Row 33 'Unit selling price, EUR' (During the project) is empty. Text_data lists 1,800 EUR during the project for this product; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C33,"1,900","Row 33 'Unit selling price, EUR' (N+1) is empty. Text_data lists 1,900 EUR in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D33,"2,000","Row 33 'Unit selling price, EUR' (N+2) is empty. Text_data lists 2,000 EUR in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E33,"2,100","Row 33 'Unit selling price, EUR' (N+3) is empty. Text_data lists 2,100 EUR in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B34,"360,000","Row 34 'Total sales revenue, EUR' (During the project) currently '0'. Text_data gives 200 * 1,800 = 360,000 EUR; replace the placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,C34,"608,000","Row 34 'Total sales revenue, EUR' (N+1) currently '0'. Text_data gives 320 * 1,900 = 608,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D34,"840,000","Row 34 'Total sales revenue, EUR' (N+2) currently '0'. Text_data gives 420 * 2,000 = 840,000 EUR; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E34,"1,155,000","Row 34 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 550 * 2,100 = 1,155,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A36,Customer Analytics Platform,"Row 36 product header currently 'Product xxx'. The text_data identifies this as 'Customer Analytics Platform', so replace placeholder and align rows 37-39 with the provided data.",ENGLISH_Finansinis planas en_revenue_forecast
,,B37,35,"Row 37 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 35 units during the project for this product; fill the quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C37,65,"Row 37 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 65 units in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D37,90,"Row 37 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 90 units in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E37,120,"Row 37 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 120 units in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B38,"6,800","Row 38 'Unit selling price, EUR' (During the project) is empty. Text_data lists 6,800 EUR during the project for this product; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C38,"7,100","Row 38 'Unit selling price, EUR' (N+1) is empty. Text_data lists 7,100 EUR in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D38,"7,400","Row 38 'Unit selling price, EUR' (N+2) is empty. Text_data lists 7,400 EUR in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E38,"7,700","Row 38 'Unit selling price, EUR' (N+3) is empty. Text_data lists 7,700 EUR in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B39,"238,000","Row 39 'Total sales revenue, EUR' (During the project) currently '0'. Text_data gives 35 * 6,800 = 238,000 EUR; replace the placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,C39,"461,500","Row 39 'Total sales revenue, EUR' (N+1) currently '0'. Text_data gives 65 * 7,100 = 461,500 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D39,"666,000","Row 39 'Total sales revenue, EUR' (N+2) currently '0'. Text_data gives 90 * 7,400 = 666,000 EUR; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E39,"924,000","Row 39 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 120 * 7,700 = 924,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A41,Automated Workflow Management System,"Row 41 product header currently 'Product xxx'. The text_data names this product 'Automated Workflow Management System', so replace the placeholder to correctly label rows 42-44.",ENGLISH_Finansinis planas en_revenue_forecast
,,B42,120,"Row 42 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 120 units during the project for this product; fill the missing quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C42,180,"Row 42 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 180 units in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D42,230,"Row 42 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 230 units in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E42,300,"Row 42 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 300 units in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B43,"4,200","Row 43 'Unit selling price, EUR' (During the project) is empty. Text_data lists 4,200 EUR during the project for this product; fill the price.",ENGLISH_Finansinis planas en_revenue_forecast
,,C43,"4,400","Row 43 'Unit selling price, EUR' (N+1) is empty. Text_data lists 4,400 EUR in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D43,"4,600","Row 43 'Unit selling price, EUR' (N+2) is empty. Text_data lists 4,600 EUR in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E43,"4,800","Row 43 'Unit selling price, EUR' (N+3) is empty. Text_data lists 4,800 EUR in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,B44,"504,000","Row 44 'Total sales revenue, EUR' (During the project) currently '0'. Text_data gives 120 * 4,200 = 504,000 EUR; replace the placeholder.",ENGLISH_Finansinis planas en_revenue_forecast
,,C44,"792,000","Row 44 'Total sales revenue, EUR' (N+1) currently '0'. Text_data gives 180 * 4,400 = 792,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D44,"1,058,000","Row 44 'Total sales revenue, EUR' (N+2) currently '0'. Text_data gives 230 * 4,600 = 1,058,000 EUR; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E44,"1,440,000","Row 44 'Total sales revenue, EUR' (N+3) currently '0'. Text_data gives 300 * 4,800 = 1,440,000 EUR; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,A46,Real-Time Data Monitoring Dashboard,"Row 46 product header currently 'Product xxx'. The text_data names this product 'Real-Time Data Monitoring Dashboard', so replace the placeholder to correctly label rows 47-49.",ENGLISH_Finansinis planas en_revenue_forecast
,,B47,90,"Row 47 'Sales quantity, pcs.' (During the project) is empty. Text_data specifies 90 units during the project for this product; fill the missing quantity.",ENGLISH_Finansinis planas en_revenue_forecast
,,C47,150,"Row 47 'Sales quantity, pcs.' (N+1) is empty. Text_data specifies 150 units in N+1; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
,,D47,200,"Row 47 'Sales quantity, pcs.' (N+2) is empty. Text_data specifies 200 units in N+2; fill the value.",ENGLISH_Finansinis planas en_revenue_forecast
,,E47,260,"Row 47 'Sales quantity, pcs.' (N+3) is empty. Text_data specifies 260 units in N+3; update the cell.",ENGLISH_Finansinis planas en_revenue_forecast
